#This file contains the following real data for IceCube-22:
# 0. The version of the event-level IceCube likelihood that this file is to be used with
# 1. Exposure: total live time (seconds)
# 2. Events: individual event information
#
#The event section has the following column content:
#[En]         event number
#[E]          Nchan of event
#[cos(phi)]   reconstructed cosine (angle of incoming neutrino relative to Sun)
#[phi uncert] paraboloid sigma in degrees
#
###--Likelihood--
[E]  17
[cos(phi)]  0.996996
[phi uncert]  2.81854
###
[En]  65
[E]  16
[cos(phi)]  0.99816
[phi uncert]  3.64236
###
[En]  66
[E]  10
[cos(phi)]  0.986064
[phi uncert]  4.30694
###
[En]  67
[E]  18
[cos(phi)]  0.994869
[phi uncert]  3.55746
###
[En]  68
[E]  11
[cos(phi)]  0.994322
[phi uncert]  3.86175
###
[En]  69
[E]  17
[cos(phi)]  0.996619
[phi uncert]  2.93329
###
[En]  70
[E]  12
[cos(phi)]  0.994918
[phi uncert]  2.92787
###
[En]  71
[E]  12
[cos(phi)]  0.999044
[phi uncert]  3.90463
###
[En]  72
[E]  15
[cos(phi)]  0.986204
[phi uncert]  3.60579
###
[En]  73
[E]  18
[cos(phi)]  0.99579
[phi uncert]  2.95871
###
[En]  74
[E]  11
[cos(phi)]  0.990952
[phi uncert]  3.45407
###
[En]  75
[E]  24
[cos(phi)]  0.998853
[phi uncert]  1.93723
###
[En]  76
[E]  19
[cos(phi)]  0.986424
[phi uncert]  5.82986
###
[En]  77
[E]  15
[cos(phi)]  0.994866
[phi uncert]  3.01717
###
[En]  78
[E]  10
[cos(phi)]  0.996549
[phi uncert]  4.63619
###
[En]  79
[E]  23
[cos(phi)]  0.993201
[phi uncert]  3.43464
###
[En]  80
[E]  16
[cos(phi)]  0.98624
[phi uncert]  3.96709
###
[En]  81
[E]  12
[cos(phi)]  0.987974
[phi uncert]  5.38293
###
[En]  82
[E]  12
[cos(phi)]  0.991709
[phi uncert]  3.75722
###
[En]  83
[E]  17
[cos(phi)]  0.985689
[phi uncert]  2.67383
###
[En]  84
[E]  11
[cos(phi)]  0.993158
[phi uncert]  4.4825
###
[En]  85
[E]  18
[cos(phi)]  0.985064
[phi uncert]  2.66496
###
[En]  86
[E]  10
[cos(phi)]  0.989884
[phi uncert]  3.42397
###
[En]  87
[E]  13
[cos(phi)]  0.990609
[phi uncert]  4.50345
###
[En]  88
[E]  18
[cos(phi)]  0.991602
[phi uncert]  2.96615
###
[En]  89
[E]  11
[cos(phi)]  0.997043
[phi uncert]  3.83607
###
[En]  90
[E]  18
[cos(phi)]  0.994604
[phi uncert]  2.69207
###
[En]  91
[E]  12
[cos(phi)]  0.993167
[phi uncert]  5.27616
###
[En]  92
[E]  22
[cos(phi)]  0.986488
[phi uncert]  2.75066
###
[En]  93
[E]  11
[cos(phi)]  0.986819
[phi uncert]  5.20006
###
[En]  94
[E]  14
[cos(phi)]  0.988338
[phi uncert]  4.24594
###
[En]  95
[E]  10
[cos(phi)]  0.992947
[phi uncert]  6.46351
###
[En]  96
[E]  10
[cos(phi)]  0.9927
[phi uncert]  3.34892
###
[En]  97
[E]  17
[cos(phi)]  0.996894
[phi uncert]  2.56467
###
[En]  98
[E]  20
[cos(phi)]  0.994836
[phi uncert]  3.94471
###
[En]  99
[E]  12
[cos(phi)]  0.98725
[phi uncert]  3.38367
###
[En]  100
[E]  13
[cos(phi)]  0.992582
[phi uncert]  4.22133
###
[En]  101
[E]  11
[cos(phi)]  0.987638
[phi uncert]  4.36175
###
[En]  102
[E]  20
[cos(phi)]  0.997713
[phi uncert]  3.72278
###
[En]  103
[E]  18
[cos(phi)]  0.994767
[phi uncert]  5.52182
###
[En]  104
[E]  11
[cos(phi)]  0.996003
[phi uncert]  2.9855
###
[En]  105
[E]  10
[cos(phi)]  0.986889
[phi uncert]  6.21157
###
[En]  106
[E]  13
