#This file contains dummy instrument response data for IceCube-86, 
#copied from the corresponding IC22 file.  Do not use this file
#for spectral analysis of IceCube-86 data or predictions.
#
####
H  0
E  1.6  1.8
h  12  19  0.0712384
h  13  20  0.0659121
h  14  21  0.0585886
h  15  22  0.0645806
h  16  23  0.0612517
h  17  24  0.0725699
h  18  25  0.057257
h  19  26  0
####
H  14
E  4.4  4.6
h  0  7  0
h  1  8  0
h  2  9  0
h  3  10  0.0269576
h  4  11  0.055199
h  5  12  0.0564827
h  6  13  0.0616175
h  7  14  0.0603338
h  8  15  0.0783055
h  9  16  0.0718871
h  10  17  0.0590501
h  11  18  0.0718871
h  12  19  0.0757382
h  13  20  0.0641849
h  14  21  0.0616175
h  15  22  0.0795892
h  16  23  0.0693197
h  17  24  0.0526316
h  18  25  0.055199
h  19  26  0
####
H  15
E  4.6  4.8
h  0  7  0
h  1  8  0
h  2  9  0
h  3  10  0.0332481
h  4  11  0.0613811
h  5  12  0.0537084
h  6  13  0.0460358
h  7  14  0.0664962
h  8  15  0.0741688
h  9  16  0.056266
h  10  17  0.0690537
h  11  18  0.0664962
h  12  19  0.0741688
h  13  20  0.104859
h  14  21  0.0716113
h  15  22  0.0460358
h  16  23  0.0409207
h  17  24  0.0741688
h  18  25  0.0613811
h  19  26  0
####
H  16
E  4.8  5
h  0  7  0
h  1  8  0
h  2  9  0
h  3  10  0.037037
h  4  11  0.0416667
h  5  12  0.0509259
h  6  13  0.0694444
h  7  14  0.0648148
h  8  15  0.0740741
h  9  16  0.0648148
h  10  17  0.0648148
h  11  18  0.0740741
h  12  19  0.0694444
h  13  20  0.0833333
h  14  21  0.0601852
h  15  22  0.0694444
h  16  23  0.0694444
h  17  24  0.0740741
h  18  25  0.0324074
h  19  26  0
####
H  17
E  5  5.2
h  0  7  0
h  1  8  0
h  2  9  0
h  3  10  0.0833333
h  4  11  0.0729167
h  5  12  0.03125
h  6  13  0.104167
h  7  14  0.0416667
h  8  15  0.0520833
h  9  16  0.0833333
h  10  17  0.0729167
h  11  18  0.0625
h  12  19  0.0520833
h  13  20  0.0416667
h  14  21  0.0520833
h  15  22  0.0833333
h  16  23  0.0625
h  17  24  0.0416667
h  18  25  0.0625
h  19  26  0
####
H  18
E  5.2  5.4
h  0  7  0
h  1  8  0
h  2  9  0
h  3  10  0
h  4  11  0.0350877
h  5  12  0.0175439
h  6  13  0.0526316
h  7  14  0.0526316
h  8  15  0.0701754
h  9  16  0.140351
h  10  17  0.122807
h  11  18  0.0701754
h  12  19  0.0526316
h  13  20  0.0701754
h  14  21  0.0701754
h  15  22  0.0701754
h  16  23  0.0526316
h  17  24  0.0526316
h  18  25  0.0701754
h  19  26  0
####
H  19
E  5.4  5.6
h  0  7  0
h  1  8  0
h  2  9  0
h  3  10  0
h  4  11  0.0357143
h  5  12  0.0357143
h  6  13  0.0357143
h  7  14  0.0357143
h  8  15  0.0714286
h  9  16  0.107143
h  10  17  0.178571
h  11  18  0.0714286
h  12  19  0.0714286
h  13  20  0.0357143
h  14  21  0.0714286
h  15  22  0.0714286
h  16  23  0.142857
h  17  24  0.0357143
h  18  25  0
h  19  26  0
####
