#This file contains the following simulated data for IceCube-86:
# 0. The version of the event-level IceCube likelihood that this file is to be used with
# 1. Exposure: total live time (seconds)
# 2. Events: individual event information
#
#The event section has the following column content:
#[En]         event number
#[E]          dummy Nchan of event (do not use this file for spectral analysis)
#[cos(phi)]   reconstructed cosine (angle of incoming neutrino relative to Sun)
#[phi uncert] paraboloid sigma in degrees
#
###--Likelihood--
[phi uncert]  1.42705
###
[En]  63
[E]  10
[cos(phi)]  0.956959
[phi uncert]  2.33724
###
[En]  64
[E]  10
[cos(phi)]  0.989569
[phi uncert]  1.72552
###
[En]  65
[E]  10
[cos(phi)]  0.98911
[phi uncert]  2.84847
###
[En]  66
[E]  10
[cos(phi)]  0.967786
[phi uncert]  1.73918
###
[En]  67
[E]  10
[cos(phi)]  0.978549
[phi uncert]  1.18556
###
[En]  68
[E]  10
[cos(phi)]  0.975128
[phi uncert]  2.18331
###
[En]  69
[E]  10
[cos(phi)]  0.960528
[phi uncert]  1.6499
###
[En]  70
[E]  10
[cos(phi)]  0.970554
[phi uncert]  3.43372
###
[En]  71
[E]  10
[cos(phi)]  0.946405
[phi uncert]  3.66688
###
[En]  72
[E]  10
[cos(phi)]  0.95312
[phi uncert]  3.50134
###
[En]  73
[E]  10
[cos(phi)]  0.985186
[phi uncert]  1.91095
###
[En]  74
[E]  10
[cos(phi)]  0.975266
[phi uncert]  2.6876
###
[En]  75
[E]  10
[cos(phi)]  0.949603
[phi uncert]  5.83165
###
[En]  76
[E]  10
[cos(phi)]  0.951344
[phi uncert]  2.75302
###
[En]  77
[E]  10
[cos(phi)]  0.968976
[phi uncert]  1.82478
###
[En]  78
[E]  10
[cos(phi)]  0.99936
[phi uncert]  1.60826
###
[En]  79
[E]  10
[cos(phi)]  0.977374
[phi uncert]  2.6039
###
[En]  80
[E]  10
[cos(phi)]  0.962618
[phi uncert]  3.6987
###
[En]  81
[E]  10
[cos(phi)]  0.946138
[phi uncert]  2.37707
###
[En]  82
[E]  10
[cos(phi)]  0.997718
[phi uncert]  2.74089
###
[En]  83
[E]  10
[cos(phi)]  0.998574
[phi uncert]  5.97056
###
[En]  84
[E]  10
[cos(phi)]  0.951501
[phi uncert]  2.74208
###
[En]  85
[E]  10
[cos(phi)]  0.990746
[phi uncert]  3.20954
###
[En]  86
[E]  10
[cos(phi)]  0.989438
[phi uncert]  2.24434
###
[En]  87
[E]  10
[cos(phi)]  0.961359
[phi uncert]  1.82506
###
[En]  88
[E]  10
[cos(phi)]  0.983332
[phi uncert]  10.4385
###
[En]  89
[E]  10
[cos(phi)]  0.991218
[phi uncert]  1.39216
###
[En]  90
[E]  10
[cos(phi)]  0.970832
[phi uncert]  2.79844
###
[En]  91
[E]  10
[cos(phi)]  0.997581
[phi uncert]  1.34127
###
[En]  92
[E]  10
[cos(phi)]  0.981296
[phi uncert]  2.07108
###
[En]  93
[E]  10
[cos(phi)]  0.976082
[phi uncert]  2.91492
###
[En]  94
[E]  10
[cos(phi)]  0.974018
[phi uncert]  2.31801
###
[En]  95
[E]  10
[cos(phi)]  0.991628
[phi uncert]  1.70776
###
[En]  96
[E]  10
[cos(phi)]  0.957961
[phi uncert]  2.37738
###
[En]  97
[E]  10
[cos(phi)]  0.945428
[phi uncert]  2.85898
###
[En]  98
[E]  10
[cos(phi)]  0.984787
[phi uncert]  2.25027
###
[En]  99
[E]  10
[cos(phi)]  0.99233
[phi uncert]  1.68147
###
[En]  100
[E]  10
[cos(phi)]  0.957418
[phi uncert]  4.53215
###
[En]  101
[E]  10
[cos(phi)]  0.949719
[phi uncert]  2.18947
###
[En]  102
[E]  10
[cos(phi)]  0.973736
[phi uncert]  2.54624
###
[En]  103
[E]  10
[cos(phi)]  0.97995
[phi uncert]  2.36221
###
