#This file contains the following instrument response data for IceCube-79 WH data sample:
# 1. Histograms of Nchan response distributions for muon energy 
#    intervals of log10(E) = 0.2;
#    Nchan values are corrected for the higher photocathode density within DeepCore 
#
#All histograms are normalized to 1.  The file has the following column content:
#H [Histogram number]
#E [log10(E_nu); lower bound]  [log10(E_nu); upper bound]
#h [Histogram bin]   [Nchan]   [Bin content]
#
####
H  4
E  1.4  1.6
h  4  4  0
h  5  5  0
h  6  6  0
h  7  7  0.000197521
h  8  8  0.0012459
h  9  9  0.00317554
h  10  10  0.0180656
h  11  11  0.0438092
h  12  12  0.0728702
h  13  13  0.0898672
h  14  14  0.10069
h  15  15  0.100604
h  16  16  0.0952407
h  17  17  0.0837896
h  18  18  0.0733159
h  19  19  0.062042
h  20  20  0.0510821
h  21  21  0.0424114
h  22  22  0.0343434
h  23  23  0.0268629
h  24  24  0.0215653
h  25  25  0.0169261
h  26  26  0.0125148
h  27  27  0.0100027
h  28  28  0.00777424
h  29  29  0.00638146
h  30  30  0.00499375
h  31  31  0.00389978
h  32  32  0.00302866
h  33  33  0.00232467
h  34  34  0.00193976
h  35  35  0.0016764
h  36  36  0.00139784
h  37  37  0.00105851
h  38  38  0.000855926
h  39  39  0.000749568
h  40  40  0.000526724
h  41  41  0.000536853
h  42  42  0.000349461
h  43  43  0.000288685
h  44  44  0.000263362
h  45  45  0.000197521
h  46  46  0.000202586
h  47  47  0.000126616
h  48  48  0.000111422
h  49  49  7.09051e-05
h  50  50  9.11637e-05
h  51  51  8.60991e-05
h  52  52  6.07758e-05
h  53  53  4.05172e-05
h  54  54  5.57112e-05
h  55  55  3.54526e-05
h  56  56  1.5194e-05
h  57  57  4.55819e-05
h  58  58  2.53233e-05
h  59  59  1.5194e-05
h  60  60  4.05172e-05
h  61  61  1.5194e-05
h  62  62  1.01293e-05
h  63  63  2.53233e-05
h  64  64  0
h  65  65  1.01293e-05
h  66  66  5.06465e-06
h  67  67  0
h  68  68  1.01293e-05
h  69  69  0
h  70  70  0
h  71  71  1.01293e-05
h  72  72  0
h  73  73  0
h  74  74  5.06465e-06
h  75  75  0
h  76  76  0
h  77  77  5.06465e-06
h  78  78  0
h  79  79  0
h  80  80  0
h  81  81  0
h  82  82  0
h  83  83  0
h  84  84  0
h  85  85  0
h  86  86  0
h  87  87  0
h  88  88  0
h  89  89  0
h  90  90  1.01293e-05
h  91  91  0
h  92  92  0
h  93  93  5.06465e-06
h  94  94  0
h  95  95  0
h  96  96  0
h  97  97  0
h  98  98  0
h  99  99  0
####
H  8
E  2.2  2.4
h  0  0  0
h  1  1  0
h  2  2  0
h  3  3  0
h  4  4  0
h  5  5  0
h  6  6  0
h  7  7  6.43451e-05
h  8  8  0.000411809
h  9  9  0.0012054
h  10  10  0.0079359
h  11  11  0.0224264
h  12  12  0.0399111
h  13  13  0.0569411
h  14  14  0.0695785
h  15  15  0.0776559
h  16  16  0.0809804
h  17  17  0.0793461
h  18  18  0.0748548
h  19  19  0.0691881
h  20  20  0.0622432
h  21  21  0.0553411
h  22  22  0.0483403
h  23  23  0.042575
h  24  24  0.0366553
h  25  25  0.0304524
h  26  26  0.0259182
h  27  27  0.0213025
h  28  28  0.0180252
h  29  29  0.0148852
h  30  30  0.0118867
h  31  31  0.00900402
h  32  32  0.0082233
h  33  33  0.00649456
h  34  34  0.00507039
h  35  35  0.00400655
h  36  36  0.00337168
h  37  37  0.00280116
h  38  38  0.00221347
h  39  39  0.00185314
h  40  40  0.00142846
h  41  41  0.00110674
h  42  42  0.000982335
h  43  43  0.000772141
h  44  44  0.000720665
h  45  45  0.000553368
h  46  46  0.000489023
h  47  47  0.000428967
h  48  48  0.000330305
h  49  49  0.000313146
h  50  50  0.000235932
h  51  51  0.000210194
h  52  52  0.000167297
h  53  53  0.000171587
h  54  54  0.000145849
h  55  55  6.86348e-05
h  56  56  9.86625e-05
h  57  57  9.00831e-05
h  58  58  6.43451e-05
h  59  59  3.43174e-05
h  60  60  6.00554e-05
h  61  61  4.71864e-05
h  62  62  3.86071e-05
h  63  63  1.71587e-05
h  64  64  2.5738e-05
h  65  65  3.00277e-05
h  66  66  2.5738e-05
h  67  67  3.00277e-05
h  68  68  2.14484e-05
h  69  69  1.2869e-05
h  70  70  4.28967e-06
h  71  71  1.71587e-05
h  72  72  8.57935e-06
h  73  73  8.57935e-06
h  74  74  4.28967e-06
h  75  75  8.57935e-06
h  76  76  8.57935e-06
h  77  77  0
h  78  78  4.28967e-06
h  79  79  0
h  80  80  8.57935e-06
h  81  81  8.57935e-06
h  82  82  0
h  83  83  0
h  84  84  0
h  85  85  4.28967e-06
h  86  86  0
h  87  87  0
h  88  88  0
h  89  89  0
h  90  90  4.28967e-06
h  91  91  0
h  92  92  0
h  93  93  4.28967e-06
h  94  94  0
h  95  95  0
h  96  96  0
h  97  97  4.28967e-06
h  98  98  0
h  99  99  0
####
H  9
E  2.4  2.6
h  0  0  0
h  1  1  0
h  2  2  0
h  3  3  0
h  4  4  0
h  5  5  0
h  6  6  4.72639e-06
h  7  7  2.83583e-05
h  8  8  0.000212688
h  9  9  0.000671147
